OrderedDict([('run_time', 387.52179884910583), ('rx_bytes', 4561163073), ('tx_bytes', 4370459134), ('read_bytes', 43949789184), ('write_bytes', 1309548544), ('map_tasks', 164), ('reduce_tasks', 2)])
job_1475292842338_0002 15206654825 66584461 51 0
job_1475292842338_0001 7607695644 33559290 26 0
job_1475292842338_0006 1803108 1756938 1 1
job_1475292842338_0003 20137315315 124611113 75 0
job_1475292842338_0004 224865955 6871996 9 0
job_1475292842338_0005 6896837 1797898 2 1
job_1475292842338_0005 -> job_1475292842338_0006
job_1475292842338_0004 -> job_1475292842338_0005

1475292906421 TASK_STARTED MAP
1475292906428 TASK_STARTED MAP
1475292906428 TASK_STARTED MAP
1475292906428 TASK_STARTED MAP
1475292906429 TASK_STARTED MAP
1475292906429 TASK_STARTED MAP
1475292906429 TASK_STARTED MAP
1475292906430 TASK_STARTED MAP
1475292906430 TASK_STARTED MAP
1475292906430 TASK_STARTED MAP
1475292906435 TASK_STARTED MAP
1475292906436 TASK_STARTED MAP
1475292906436 TASK_STARTED MAP
1475292906436 TASK_STARTED MAP
1475292906437 TASK_STARTED MAP
1475292906438 TASK_STARTED MAP
1475292906438 TASK_STARTED MAP
1475292906438 TASK_STARTED MAP
1475292906439 TASK_STARTED MAP
1475292906439 TASK_STARTED MAP
1475292906439 TASK_STARTED MAP
1475292906440 TASK_STARTED MAP
1475292906440 TASK_STARTED MAP
1475292906440 TASK_STARTED MAP
1475292906441 TASK_STARTED MAP
1475292906441 TASK_STARTED MAP
1475292932410 TASK_FINISHED MAP
1475292932945 TASK_FINISHED MAP
1475292933182 TASK_FINISHED MAP
1475292933898 TASK_FINISHED MAP
1475292934239 TASK_FINISHED MAP
1475292934278 TASK_FINISHED MAP
1475292934418 TASK_FINISHED MAP
1475292934466 TASK_FINISHED MAP
1475292934943 TASK_FINISHED MAP
1475292935017 TASK_FINISHED MAP
1475292935045 TASK_FINISHED MAP
1475292935122 TASK_FINISHED MAP
1475292935191 TASK_FINISHED MAP
1475292935945 TASK_FINISHED MAP
1475292936459 TASK_FINISHED MAP
1475292937125 TASK_FINISHED MAP
1475292942029 TASK_FINISHED MAP
1475292946618 TASK_FINISHED MAP
1475292946889 TASK_FINISHED MAP
1475292947153 TASK_FINISHED MAP
1475292948546 TASK_FINISHED MAP
1475292950188 TASK_FINISHED MAP
1475292950197 TASK_FINISHED MAP
1475292950604 TASK_FINISHED MAP
1475292952037 TASK_FINISHED MAP
1475292952546 TASK_FINISHED MAP
1475292960753 TASK_STARTED MAP
1475292960757 TASK_STARTED MAP
1475292960758 TASK_STARTED MAP
1475292960758 TASK_STARTED MAP
1475292960758 TASK_STARTED MAP
1475292960760 TASK_STARTED MAP
1475292960764 TASK_STARTED MAP
1475292960765 TASK_STARTED MAP
1475292960765 TASK_STARTED MAP
1475292960765 TASK_STARTED MAP
1475292960766 TASK_STARTED MAP
1475292960766 TASK_STARTED MAP
1475292960766 TASK_STARTED MAP
1475292960767 TASK_STARTED MAP
1475292960767 TASK_STARTED MAP
1475292960768 TASK_STARTED MAP
1475292960768 TASK_STARTED MAP
1475292960769 TASK_STARTED MAP
1475292960769 TASK_STARTED MAP
1475292960769 TASK_STARTED MAP
1475292960770 TASK_STARTED MAP
1475292960770 TASK_STARTED MAP
1475292960770 TASK_STARTED MAP
1475292960771 TASK_STARTED MAP
1475292960771 TASK_STARTED MAP
1475292960771 TASK_STARTED MAP
1475292960772 TASK_STARTED MAP
1475292960772 TASK_STARTED MAP
1475292960772 TASK_STARTED MAP
1475292960772 TASK_STARTED MAP
1475292960773 TASK_STARTED MAP
1475292960773 TASK_STARTED MAP
1475292960773 TASK_STARTED MAP
1475292960774 TASK_STARTED MAP
1475292960774 TASK_STARTED MAP
